縣市別代碼,業者,地址,電話,網址
66000,亮威股份有限公司(全球影城),40342臺中市西區中華路一段1-1號3樓之1、4樓之1、地下1樓之5、地下2樓之5,04-22242588,http://www.ucc-cinema.com.tw/main.asp
66000,日日新國際商業股份有限公司(日日新大戲院),40041臺中市中區中華路一段58號1至10樓,04-22223138,http://www.srm.com.tw/
66000,桂冠育樂股份有限公司(萬代福影城),40046臺中市中區公園路38號3樓之1,04-22265270,http://www.wdful.com.tw/
66000,親親育樂股份有限公司(親親大戲院),40463臺中市北區北屯路14號、地下1樓-1、2樓-3、3樓-1、3樓-2、14-1號、14-2號、14-3號,04-22319111,http://www.ccmovie.com.tw/
66000,新光影城股份有限公司台中中港分公司(新光影城),40756臺中市西屯區臺灣大道三段301號13樓、14樓,04-22558952,https://www.skcinemas.com/
66000,"威秀影城股份有限公司臺中西屯區分公司(臺中Tiger City威秀影城)",40757臺中市西屯區河南路三段120之1號4、5、6樓及河南路三段120號3樓、7樓及8樓,04-36065566,http://www.vscinemas.com.tw/
66000,威秀影城股份有限公司惠中分公司(臺中大遠百威秀影城),40756臺中市西屯區臺灣大道三段251號13樓、14樓,04-22588511,http://www.vscinemas.com.tw/
66000,豐源育樂有限公司(豐源國際影城),42056臺中市豐原區中正路137號1、2、3樓,04-25260036,https://www.facebook.com/FengYuanMovie/
66000,台中文心秀泰影城股份有限公司(台中文心秀泰影城),408台中市南屯區文心南路289號7、8樓,(04)24735989,https://www.showtimes.com.tw/info/cinema/56
66000,台中站前秀泰影城股份有限公司(台中站前秀泰影城),40154臺中市東區南京路66、76號,(04)2211-7988,https://www.showtimes.com.tw/info/cinema/53
66000,映實文化有限公司豐原分公司(豐原in89豪華影城),420台中市豐原區成功路500號5樓,(04)25268189,https://www.in89cinemax.com/index.aspx?TheaterId=15
66000,麗寶秀泰影城股份有限公司(台中麗寶秀泰影城),421臺中市后里區月眉東路二段181號3樓之3,(04)25587180,https://www.showtimes.com.tw/info/cinema/59
66000,時代戲院二館,43655臺中市清水區文昌里中山路339號3、4、5樓,(04)26222206,https://www.timescinema.com.tw/
